comuna,centro comerciales,colegios,hospitales,hoteles,universidades,bancos,estrato,estaciones mio,foto multa,centros comerciales,humedales,parques,cais,robos 2019,homicidios 2017,homicidios 2018,homicidios 2019,homicidios 2020,homicidios 2022,homicidios 2023,homicidios 2024
1,0,0,0,0,0,0,1,0,0,0,0,0,1,114,15,9,24,17,14,16,21
2,3,5,14,36,0,25,5,6,2,3,0,5,5,1698,32,25,27,22,29,29,22
3,0,2,0,16,0,0,3,11,2,0,0,3,2,2172,37,46,30,29,34,44,34
4,0,8,0,6,0,6,2,6,0,2,0,2,0,771,28,22,19,25,28,29,18
5,2,6,1,0,0,6,3,0,1,2,0,0,1,865,12,11,18,12,16,9,13
6,1,11,0,0,0,0,2,1,0,0,0,1,4,808,63,83,67,44,42,50,34
7,0,3,3,0,0,0,3,0,0,0,1,0,2,477,44,38,33,44,24,30,26
8,0,7,2,1,0,3,3,6,0,0,0,0,0,1179,38,51,46,28,37,35,21
9,0,2,0,5,0,0,3,0,2,0,0,0,2,1174,53,44,43,30,39,48,44
10,0,2,1,2,0,0,3,0,2,0,0,0,1,1003,36,46,35,52,31,29,25
11,0,1,0,1,0,1,3,1,0,0,0,0,2,796,49,39,39,48,41,30,33
12,0,1,0,0,0,0,3,3,0,0,0,0,0,461,33,40,34,37,35,29,28
13,0,7,2,1,0,0,2,0,0,0,2,0,4,767,138,104,99,98,78,116,75
14,0,7,0,1,0,1,1,0,0,0,0,0,4,720,117,111,111,102,104,68,84
15,0,3,0,0,0,0,1,0,0,0,2,1,2,808,148,139,138,103,103,125,118
16,0,2,1,1,0,0,2,0,0,0,0,1,1,534,51,45,47,36,33,37,28
17,3,0,6,3,1,22,5,7,7,4,4,10,3,2344,30,28,28,31,26,30,45
18,0,4,6,0,1,0,3,0,0,0,1,1,2,619,58,64,78,59,76,69,69
19,3,11,9,15,4,21,4,7,2,3,0,5,3,2959,26,34,29,29,31,31,25
20,0,2,1,0,0,0,1,0,0,0,0,0,1,234,97,77,58,48,66,49,45
21,1,5,0,0,0,0,1,0,0,0,1,0,2,696,99,84,87,73,70,78,87
22,0,11,1,6,5,7,6,0,0,0,8,4,2,484,4,2,8,3,2,4,4